Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
Unknown,PCI-1.1.1,Unknown Control,asset-EILT0197,Compliant,System Check: Windows Firewall Profiles,auto-ev-EILT0197-PCI-1.1.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-1,Access Control,asset-EILT0197,Warning,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-1,Access Control,asset-EILT0197,Warning,System Check: Windows Firewall Profiles,auto-ev-EILT0197-PR.AC-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-1,Access Control,asset-EILT0197,Warning,System Check: Password Policy (Min Length),auto-ev-EILT0197-PR.AC-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-1,Access Control,asset-EILT0197,Warning,System Check: RDP NLA Required,auto-ev-EILT0197-PR.AC-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-1,Access Control,asset-EILT0197,Warning,System Check: User Access Control,auto-ev-EILT0197-PR.AC-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,PR.AC-1,Access Control,asset-EILT0197,Warning,System Check: Credential Guard,auto-ev-EILT0197-PR.AC-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.6,Boundary Protection,asset-EILT0197,Warning,System Check: Windows Firewall Profiles,auto-ev-EILT0197-CC6.6-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.6,Boundary Protection,asset-EILT0197,Warning,System Check: RDP NLA Required,auto-ev-EILT0197-CC6.6-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.6,Boundary Protection,asset-EILT0197,Warning,System Check: Risky Network Ports,auto-ev-EILT0197-CC6.6-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.6,Boundary Protection,asset-EILT0197,Warning,System Check: Remote Desktop Service,auto-ev-EILT0197-CC6.6-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.6,Boundary Protection,asset-EILT0197,Warning,System Check: USB Mass Storage Access,auto-ev-EILT0197-CC6.6-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-1.1,Firewall Configuration,asset-EILT0197,Compliant,System Check: Windows Firewall Profiles,auto-ev-EILT0197-PCI-1.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-1.1,Firewall Configuration,asset-EILT0197,Compliant,System Check: Risky Network Ports,auto-ev-EILT0197-PCI-1.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.13.1,Unknown Control,asset-EILT0197,Non-Compliant,System Check: Windows Firewall Profiles,auto-ev-EILT0197-A.13.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.13.1,Unknown Control,asset-EILT0197,Non-Compliant,System Check: Risky Network Ports,auto-ev-EILT0197-A.13.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.13.1,Unknown Control,asset-EILT0197,Non-Compliant,System Check: LLMNR/NetBIOS Protection,auto-ev-EILT0197-A.13.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-5.1,Anti-Virus Software,asset-EILT0197,Compliant,System Check: Windows Defender Antivirus,auto-ev-EILT0197-PCI-5.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
