Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
ISO/IEC 27001:2022,A.7.7,Clear Desk and Clear Screen,asset-srihari-laptop,Non-Compliant,System Check: Idle Timeout (Screensaver),auto-ev-srihari-laptop-A.7.7-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.11,Data Masking,asset-srihari-laptop,Non-Compliant,System Check: Idle Timeout (Screensaver),auto-ev-srihari-laptop-A.8.11-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.7.10,Storage Media,asset-srihari-laptop,Non-Compliant,System Check: USB Mass Storage Access,auto-ev-srihari-laptop-A.7.10-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Payment Card Industry Data Security Standard,PCI-7.1,Access Restriction,asset-srihari-laptop,Compliant,System Check: Local Administrator Auditing,auto-ev-srihari-laptop-PCI-7.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Digital Personal Data Protection Act (DPDP),DPDP-5.1,Consent Artifacts Present,asset-srihari-laptop,Non-Compliant,System Check: DPDP-5.1 Consent Artifacts,auto-ev-srihari-laptop-DPDP-5.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Digital Personal Data Protection Act (DPDP),DPDP-8.4,Data Retention Pruning Logic,asset-srihari-laptop,Compliant,System Check: DPDP-8.4 Data Retention Policy,auto-ev-srihari-laptop-DPDP-8.4-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Digital Personal Data Protection Act (DPDP),DPDP-8.5,Personal Data Breach Notification Ops,asset-srihari-laptop,Non-Compliant,System Check: DPDP-8.5 Breach Notification,auto-ev-srihari-laptop-DPDP-8.5-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Digital Personal Data Protection Act (DPDP),DPDP-9.1,Child Data Age-Gating,asset-srihari-laptop,Compliant,System Check: DPDP-9.1 Child Data Age-Gating,auto-ev-srihari-laptop-DPDP-9.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Digital Personal Data Protection Act (DPDP),DPDP-10.1,Significant Data Fiduciary Audits,asset-srihari-laptop,Non-Compliant,System Check: DPDP-10.1 SDF Audit Status,auto-ev-srihari-laptop-DPDP-10.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,IVS-06,Unknown Control,asset-srihari-laptop,Compliant,System Check: Cloud Instance Metadata,auto-ev-srihari-laptop-IVS-06-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,AC-3,Unknown Control,asset-srihari-laptop,Compliant,System Check: Cloud Instance Metadata,auto-ev-srihari-laptop-AC-3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.34,Privacy and Protection of PII,asset-srihari-laptop,Non-Compliant,System Check: PII Data Discovery,auto-ev-srihari-laptop-A.5.34-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,Privacy-1,Unknown Control,asset-srihari-laptop,Non-Compliant,System Check: PII Data Discovery,auto-ev-srihari-laptop-Privacy-1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
General Data Protection Regulation,Art.5(1)(c),Data Minimization,asset-srihari-laptop,Non-Compliant,System Check: PII Data Discovery,auto-ev-srihari-laptop-Art.5(1)(c)-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO 9001:2015,iso9001-7.5,Documented Information,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-iso9001-7.5-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
NIST Cybersecurity Framework,RC.CO-2,Reputation Management,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-RC.CO-2-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
NIST Cybersecurity Framework,PR.IP-4,Backups,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-PR.IP-4-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.13,Information Backup,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-A.8.13-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,09.0,Unknown Control,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-09.0-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
NIST Cybersecurity Framework,RC.CO-3,Recovery Activities Communication,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-RC.CO-3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
NIST Cybersecurity Framework,RC.CO-1,Recovery Communication,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-RC.CO-1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.14,Redundancy of Information Processing Facilities,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-A.8.14-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
