Record 695806b0621b8382ce787123: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 695806b0621b8382ce787124: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce787125: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce787126: AssetID=asset-EILT0197, Evidence=3, Status=OK
Record 695806b0621b8382ce787127: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce787128: AssetID=asset-EILT0197, Evidence=4, Status=OK
Record 695806b0621b8382ce787129: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce78712a: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce78712b: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce78712c: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce78712d: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce78712e: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce78712f: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 695806b0621b8382ce787130: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 695806b0621b8382ce787131: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695806b0621b8382ce787132: AssetID=asset-EILT0197, Evidence=5, Status=OK
Record 695806b1621b8382ce787133: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695c3090dba29e63af79c1d9: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695c3090dba29e63af79c1da: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695c3090dba29e63af79c1db: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 695c3090dba29e63af79c1dc: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 695c3090dba29e63af79c1dd: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 697133ea3c659a9015a3caca: AssetID=asset-EILT0197, Evidence=7, Status=OK
Record 697133ea3c659a9015a3cacb: AssetID=asset-EILT0197, Evidence=7, Status=OK
Record 697133ea3c659a9015a3cacc: AssetID=asset-EILT0197, Evidence=7, Status=OK
Record 697133ea3c659a9015a3cacd: AssetID=asset-EILT0197, Evidence=7, Status=OK
Record 697133ea3c659a9015a3cace: AssetID=asset-EILT0197, Evidence=7, Status=OK
Record 697168d33c659a9015a3cad0: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 697168d33c659a9015a3cad1: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 697168d33c659a9015a3cad2: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 697168d33c659a9015a3cad3: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 697168d33c659a9015a3cad4: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 697168d33c659a9015a3cad5: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 697168d33c659a9015a3cad6: AssetID=asset-EILT0197, Evidence=2, Status=OK
Record 697168d33c659a9015a3cad7: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 6974b02ec635511812567aa1: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aa2: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
